ds,y_hat,y_lower,y_upper,y
2016.05.16,1.13107,1.13415,1.13015,1.13185
2016.05.17,1.13193,1.13478,1.13008,1.13129
2016.05.18,1.13131,1.13153,1.12135,1.12152
2016.05.19,1.12151,1.12292,1.11792,1.12020
2016.05.20,1.12019,1.12365,1.11956,1.12230
2016.05.23,1.12079,1.12420,1.11868,1.12194
2016.05.24,1.12191,1.12262,1.11316,1.11397
2016.05.25,1.11398,1.11661,1.11281,1.11541
2016.05.26,1.11542,1.12159,1.11488,1.11928
2016.05.27,1.11929,1.11999,1.11100,1.11116
2016.05.30,1.11126,1.11439,1.10972,1.11374
2016.05.31,1.11375,1.11727,1.11214,1.11308
2016.06.01,1.11306,1.11932,1.11134,1.11877
2016.06.02,1.11878,1.12193,1.11446,1.11499
2016.06.03,1.11496,1.13728,1.11359,1.13665
2016.06.06,1.13552,1.13920,1.13249,1.13527
2016.06.07,1.13532,1.13798,1.13379,1.13575
2016.06.08,1.13569,1.14099,1.13538,1.13934
2016.06.09,1.13911,1.14147,1.13048,1.13158
2016.06.10,1.13156,1.13206,1.12446,1.12499
2016.06.13,1.12487,1.13024,1.12313,1.12892
2016.06.14,1.12898,1.12976,1.11881,1.12061
2016.06.15,1.12052,1.12982,1.11890,1.12598
2016.06.16,1.12591,1.12940,1.11302,1.12235
2016.06.17,1.12241,1.12955,1.12221,1.12751
2016.06.20,1.13309,1.13817,1.13013,1.13130
2016.06.21,1.13131,1.13488,1.12404,1.12414
2016.06.22,1.12414,1.13369,1.12358,1.12940
2016.06.23,1.12942,1.14205,1.12941,1.13841
2016.06.24,1.13841,1.14273,1.09095,1.11139
2016.06.27,1.10112,1.10828,1.09699,1.10218
2016.06.28,1.10221,1.11108,1.10091,1.10627
2016.06.29,1.10627,1.11295,1.10484,1.11217
2016.06.30,1.11228,1.11537,1.10235,1.11064
2016.07.01,1.11054,1.11686,1.10713,1.11378
2016.07.04,1.11281,1.11587,1.10971,1.11521
2016.07.05,1.11526,1.11852,1.10615,1.10747
2016.07.06,1.10749,1.11108,1.10280,1.10999
2016.07.07,1.10993,1.11063,1.10518,1.10604
2016.07.08,1.10618,1.11199,1.10013,1.10503
2016.07.11,1.10491,1.10737,1.10149,1.10568
2016.07.12,1.10566,1.11255,1.10513,1.10595
2016.07.13,1.10592,1.11190,1.10414,1.10884
2016.07.14,1.10876,1.11640,1.10865,1.11177
2016.07.15,1.11180,1.11481,1.10239,1.10338
2016.07.18,1.10482,1.10834,1.10367,1.10746
2016.07.19,1.10743,1.10796,1.09990,1.10205
